Speaker: hombre 1
  Tier Type: po, Annotations Count: 772
    Time Stamp: ("'ts639'", "'ts640'"), Annotation: apamushpami ñakutin
    Time Stamp: ("'ts641'", "'ts642'"), Annotation: wasipi charijpi kundurka shina maskash purigpika maskashka purishpika
    Time Stamp: ("'ts643'", "'ts644'"), Annotation: ña yachachaysh
    Time Stamp: ("'ts645'", "'ts646'"), Annotation: chimeneata yaykush mikuring
    Time Stamp: ("'ts647'", "'ts648'"), Annotation: kutin paypash mikun kutin
    Time Stamp: ("'ts649'", "'ts650'"), Annotation: atala yaguarpuchushgata
    Time Stamp: ("'ts651'", "'ts652'"), Annotation: pikug sirishkanin
    Time Stamp: ("'ts653'", "'ts654'"), Annotation: chita japishp
    Time Stamp: ("'ts655'", "'ts656'"), Annotation: algudun shina
    Time Stamp: ("'ts657'", "'ts658'"), Annotation: baulguta charishp shina mushu rupaguta pillushgata
    Time Stamp: ("'ts659'", "'ts660'"), Annotation: tullu illa gindira viñajushkanin
    Time Stamp: ("'ts661'", "'ts662'"), Annotation: chaytapash kutin  kundurllata mikunnina
    Time Stamp: ("'ts663'", "'ts664'"), Annotation: are
    Time Stamp: ("'ts665'", "'ts666'"), Annotation: chayshi
    Time Stamp: ("'ts667'", "'ts668'"), Annotation: chayla mi  kutin kundurga
    Time Stamp: ("'ts669'", "'ts670'"), Annotation: kutiiiiiiin
    Time Stamp: ("'ts671'", "'ts672'"), Annotation: kurikingui kutin shinallata
    Time Stamp: ("'ts673'", "'ts674'"), Annotation: eeeehhhh mashti
    Time Stamp: ("'ts675'", "'ts676'"), Annotation: enamurashpatiaringalla shug
    Time Stamp: ("'ts677'", "'ts678'"), Annotation: viudu tianannin
    Time Stamp: ("'ts679'", "'ts680'"), Annotation: vu¡iudu tigta  kurikingi
    Time Stamp: ("'ts681'", "'ts682'"), Annotation: shina enamurashp
    Time Stamp: ("'ts683'", "'ts684'"), Annotation: cudurnis cudurnis
    Time Stamp: ("'ts685'", "'ts686'"), Annotation: tiaaaaanallanin
    Time Stamp: ("'ts687'", "'ts688'"), Annotation: shina
    Time Stamp: ("'ts689'", "'ts690'"), Annotation: chicharrunma
    Time Stamp: ("'ts691'", "'ts692'"), Annotation: shina
    Time Stamp: ("'ts693'", "'ts694'"), Annotation: chichaloman shina arroz de cebada
    Time Stamp: ("'ts695'", "'ts696'"), Annotation: shina
    Time Stamp: ("'ts697'", "'ts698'"), Annotation: colmash
    Time Stamp: ("'ts699'", "'ts702'"), Annotation: colmosh sakinakashkanin
    Time Stamp: ("'ts703'", "'ts706'"), Annotation: chagua jindiguan chayajuyka mikuy mikuy
    Time Stamp: ("'ts707'", "'ts708'"), Annotation: piti
    Time Stamp: ("'ts709'", "'ts710'"), Annotation: culmash
    Time Stamp: ("'ts711'", "'ts712'"), Annotation: piti
    Time Stamp: ("'ts713'", "'ts714'"), Annotation: culumash
    Time Stamp: ("'ts715'", "'ts716'"), Annotation: shina tiashga
    Time Stamp: ("'ts717'", "'ts718'"), Annotation: yakutin shina
    Time Stamp: ("'ts719'", "'ts720'"), Annotation: chapuy
    Time Stamp: ("'ts721'", "'ts722'"), Annotation: pipachata
    Time Stamp: ("'ts723'", "'ts724'"), Annotation: kudin
    Time Stamp: ("'ts725'", "'ts726'"), Annotation: chapuy nig shina
    Time Stamp: ("'ts727'", "'ts728'"), Annotation: chagra ukupi
    Time Stamp: ("'ts729'", "'ts730'"), Annotation: pakajushcapicurdurshalla curinguishalla  muyujushcanin chingarishcani
    Time Stamp: ("'ts731'", "'ts732'"), Annotation: chay chapurigpika
    Time Stamp: ("'ts733'", "'ts734'"), Annotation: pungu litagpi chapurikpika
    Time Stamp: ("'ts735'", "'ts736'"), Annotation: curikinguika
    Time Stamp: ("'ts737'", "'ts738'"), Annotation: cuika guso batiapi  kuyoriiiiinajushka
    Time Stamp: ("'ts739'", "'ts740'"), Annotation: paiga
    Time Stamp: ("'ts741'", "'ts742'"), Annotation: calderata cuishchishca
    Time Stamp: ("'ts743'", "'ts744'"), Annotation: cachita malish
    Time Stamp: ("'ts745'", "'ts746'"), Annotation: juñis
    Time Stamp: ("'ts747'", "'ts748'"), Annotation: tigrarishpa kuychijushcanin
    Time Stamp: ("'ts751'", "'ts752'"), Annotation: chiga
    Time Stamp: ("'ts754'", "'ts756'"), Annotation: cuycagunata shina capish gusuta shina capish cun cashganin
